Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).82,FALSE,0,Wilcoxon (CLR),0.053666539,0.001588486,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).83,FALSE,0,Wilcoxon (CLR),0.015863812,0.000205655,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).84,FALSE,0,Wilcoxon (CLR),0.07330801,0.000851466,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).85,FALSE,0,Wilcoxon (CLR),0.028689889,0.000742804,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).86,FALSE,0,Wilcoxon (CLR),0.017157758,6.34E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).87,FALSE,0,Wilcoxon (CLR),0.046924032,0.000500129,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).88,FALSE,0,Wilcoxon (CLR),0.021649098,2.39E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).89,FALSE,0,Wilcoxon (CLR),0.075016145,0.000257351,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).90,FALSE,0,Wilcoxon (CLR),0.000301491,0.001101006,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).91,FALSE,0,Wilcoxon (CLR),0.067382837,0.000517064,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).92,FALSE,0,Wilcoxon (CLR),0.028555471,0.001033373,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).93,FALSE,0,Wilcoxon (CLR),0.012620454,0.000472689,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).94,FALSE,0,Wilcoxon (CLR),0.045006069,0.000494133,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).95,FALSE,0,Wilcoxon (CLR),0.036710354,0.001079426,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).96,FALSE,0,Wilcoxon (CLR),0.100669717,0.000964508,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).97,FALSE,0,Wilcoxon (CLR),0.041220153,0.000795432,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).98,FALSE,0,Wilcoxon (CLR),0.013700574,0.001367581,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).99,FALSE,0,Wilcoxon (CLR),0.001068866,0.000189279,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).100,FALSE,0,Wilcoxon (CLR),0.000698694,0.000330619,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).1,TRUE,47.78724637,limma voom (TMM),0.0718797,0.000224614,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).2,FALSE,0.00304892,limma voom (TMM),0.009366106,0.000427671,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).3,FALSE,0.041160419,limma voom (TMM),0.009855707,0.000326421,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).4,FALSE,0,limma voom (TMM),0.027783627,0.000194461,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).5,FALSE,0.00152446,limma voom (TMM),0.036953629,0.000482997,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).6,TRUE,97.86270714,limma voom (TMM),0.065055733,0.00020279,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).7,FALSE,0.00152446,limma voom (TMM),0.025583893,0.000825817,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).8,FALSE,0,limma voom (TMM),0.015364745,0.000632954,8499.526539,Freshwater - Arctic
